"PLAKA","VALIDATORNO","SKPVARMI","SKPSERINO"
"FU416","6,648","0",""
"DA7456","6,649","1",""
"DA7279","6,650","0","370"
"VF617","6,651","1","488"
"DB4805","6,652","0","500"
"DB3976","6,653","0",""
"DB5370","6,654","0",""
"ALV891","6,655","0",""
"DB3480","6,656","0","358"
"UK568","6,657","1","1262"
"UE833","6,658","1","327"
"DB6474","6,659","0",""
"AS8190","6,660","0",""
"SE723","6,661","",""
"DB6477","6,024","1",""
"ELK99","6,025","1","163"
"DB6464","6,026","1",""
"EMN32","6,027","1","168"
"DB6462","6,028","1",""
"RV226","6,029","1","192"
"CO1 RC877","9,569","0",""
"DB4794","6,166","0",""
"PY854","6,167","0",""
"UF804","6,168","",""
"DB2831","6,169","1",""
"V2120","6,170","1","177"
"AS8139","6,171","0",""
"DB7927","7,594","0",""
"DB7762","7,595","0",""
"DB7768","7,596","0",""
"DB7741","7,597","1",""
"DB7940","7,598","0",""
"DB7931","7,599","0",""
"DB7934","7,600","0",""
"DB6917","7,601","0",""
"DB7941","7,602","0",""
"DB8209","7,603","0",""
"DB8291","7,604","0",""
"DB8278","7,605","0",""
"HN445","7,226","1","3938"
"CO3 YS241","9,577","0",""
"DML16","2,188","",""
"DA8069","7,008","",""
"DA7460","7,010","",""
"YZ080","7,011","1","1195"
"SE723","7,012","0",""
"DA8071","7,013","",""
"SF102","7,014","1","1258"
"CI ZK8623","9,011","",""
"V3731","7,015","1","1333"
"DB4811","7,016","1","1306"
"DB3495","7,017","1","1248"
"DB5378","7,018","1",""
"DB5258","7,019","1",""
"RY122","7,020","",""
"DB4628","7,021","1","1246"
"DB4623","7,022","1","1272"
"DB6231","7,023","1",""
"DB2850","7,024","",""
"HN292","7,025","",""
"DA5403","6,155","1",""
"Y8313","6,156","1","824"
"DA7462","6,157","0",""
"DB3499","6,159","1",""
"BKJ45","6,160","1","3362"
"CTP69","6,161","",""
"EK436","6,162","1",""
"LL068","6,163","1",""
"HF773","6,164","1","193"
"VZ223","6,165","1","3718"
"CI ED673","9,054","0",""
"FE562","6,030","1","905"
"YS294","6,031","1","972"
"LE785","6,032","1","356"
"DB4620","6,033","1",""
"U0632","6,034","1","407"
"ADD334","6,035","0",""
"CNF86","6,036","",""
"DB4195","6,037","1",""
"V3379","6,038","1","3190"
"FU401","6,039","1",""
"DA7580","6,040","1","184"
"DB3488","6,041","0",""
"HN298","6,042","1","175"
"ELZ22","6,043","1","167"
"ELZ15","6,044","1",""
"CZS72","6,045","1",""
"V2177","6,046","1","1000"
"DB4616","6,644","0",""
"LV084","6,645","1","3395"
"DB3304","6,646","0",""
"ADD296","6,647","0",""
"SE097","9,402","",""
"EL378","6,619","1","1396"
"SE323","9,406","",""
"R0863","6,949","1","3786"
"DB6472","7,246","0",""
"DA7289","7,247","1",""
"ELZ05","7,248","1","3304"
"VZ712","7,249","1","1445"
"DB2835","7,250","1",""
"DC4688","7,251","",""
"DB3472","7,252","1","373"
"RC919","7,253","1","968"
"DC4691","7,256","",""
"DA5787","7,257","0",""
"DA7557","7,258","0","1437"
"AS8162","6,809","0",""
"CYZ31","6,810","1","3983"
"AOD005","6,811","0",""
"CLZ21","6,812","1","3706"
